Município;Rede geral de esgoto ou pluvial - não discriminado;Fossa séptica - não discriminada;Fossa rudimentar - não discriminada;Vala - não discriminada;Rio, lago ou mar;Outro escoadouro - não discriminado;Não tem instalação sanitária;Total
310010 ABADIA DOS DOURADOS;1320;94;770;15;68;28;19;2314
310020 ABAETE;6087;436;1093;8;17;7;56;7704
310030 ABRE CAMPO;1928;51;168;95;1513;158;17;3930
310040 ACAIACA;767;34;113;3;340;1;3;1261
310050 ACUCENA;1189;180;251;75;1097;136;119;3047
310060 AGUA BOA;1463;729;982;76;361;98;455;4164
310070 AGUA COMPRIDA;516;73;95;22;1;-;2;709
310080 AGUANIL;864;34;398;1;51;2;3;1353
310090 AGUAS FORMOSAS;3667;158;619;192;200;82;367;5285
310100 AGUAS VERMELHAS;1033;253;1933;4;-;15;231;3469
310110 AIMORES;6194;452;624;458;343;131;36;8238
310120 AIURUOCA;711;225;414;69;574;14;30;2037
310130 ALAGOA;426;3;162;59;206;4;6;866
310140 ALBERTINA;623;12;213;6;42;-;2;898
310150 ALEM PARAIBA;8979;32;140;252;1725;32;23;11183
310160 ALFENAS;21598;420;1080;9;79;4;16;23206
310163 ALFREDO VASCONCELOS;1060;41;309;50;300;12;9;1781
310170 ALMENARA;8634;221;1111;159;328;119;976;11548
310180 ALPERCATA;1531;112;337;82;101;43;4;2210
310190 ALPINOPOLIS;4510;82;980;10;20;10;8;5620
310200 ALTEROSA;3271;115;1161;4;2;2;4;4559
310205 ALTO CAPARAO;1075;63;102;24;433;24;-;1721
310210 ALTO RIO DOCE;1355;32;842;97;1068;123;79;3596
310220 ALVARENGA;680;52;96;99;347;102;26;1402
310230 ALVINOPOLIS;3342;141;137;47;891;45;29;4632
310240 ALVORADA DE MINAS;282;64;418;15;34;26;127;966
310250 AMPARO DO SERRA;670;41;101;18;608;9;19;1466
310260 ANDRADAS;9401;373;1564;170;657;42;5;12212
310270 CACHOEIRA DE PAJEU;665;16;1458;43;100;36;233;2551
310280 ANDRELANDIA;3120;49;484;131;121;14;50;3969
